name,latitude,longitude,stop_type,zone_name
ahmedha guda,17.4985,78.61168,bus,Uppal
ahmedha guda,17.49833,78.61118,bus,Uppal
ahmedia bus stop,17.40366,78.44096,bus,Banjara Hills
airforce bus stop,17.53803,78.519,bus,Secunderabad
airport backside,17.45185,78.48597,bus,Secunderabad
akbar bagh,17.36715,78.5052,bus,Old City
akbar bagh,17.36735,78.50512,bus,Old City
alagadda baavi north bus stop,17.43548,78.51419,bus,Secunderabad
alakapuri colony uppal,17.36503,78.55665,bus,LB Nagar
aliabad,17.6252,78.59154,bus,Secunderabad
aliabad,17.62565,78.5923,bus,Secunderabad
aliabad x road,17.61918,78.57161,bus,Secunderabad
aliabad x road,17.61897,78.57146,bus,Secunderabad
alind / doyens colony,17.47667,78.32456,bus,Miyapur
alind / doyens colony,17.4767,78.32476,bus,Miyapur
aliyabad,17.34438,78.46999,bus,Old City
aliyabad / shamsheergunj,17.34339,78.46964,bus,Old City
alkapuri,17.36403,78.55737,bus,LB Nagar
alkapuri / alkapuri colony uppal,17.36599,78.55694,bus,LB Nagar
allwyn 1st phase jalakanya hotel,17.5044,78.4157,bus,Kukatpally
allwyn 1st phase jalakanya hotel,17.50421,78.41585,bus,Kukatpally
allwyn colony,17.50526,78.41143,bus,Kukatpally
allwyn colony,17.50537,78.41131,bus,Kukatpally
allwyn colony,17.45672,78.43978,bus,Ameerpet
allwyn colony,17.45688,78.43984,bus,Ameerpet
allwyn colony x road,17.49335,78.35182,bus,Miyapur
allwyn colony x road bus stop,17.49246,78.35275,bus,Miyapur
allwyn colony x road bus stop,17.4945,78.35219,bus,Miyapur
allwyn erragadda,17.45371,78.43484,bus,Ameerpet
allwyn phase 1,17.50219,78.41873,bus,Kukatpally
allwyn phase 1,17.50188,78.41885,bus,Kukatpally
allwyn phase 1,17.50211,78.41916,bus,Kukatpally
allwyn x road,17.49336,78.35148,bus,Miyapur
allwyn x road,17.49381,78.34986,bus,Miyapur
allwyn x road,17.49192,78.35314,bus,Miyapur
allwyn x road,17.49452,78.35218,bus,Miyapur
almasguda,17.30929,78.533,bus,LB Nagar
almasguda,17.30934,78.53322,bus,LB Nagar
almasguda cyr colony bus stop,17.3074,78.53533,bus,LB Nagar
alugadda bhavi,17.43526,78.51457,bus,Secunderabad
alugadda bhavi,17.43551,78.51411,bus,Secunderabad
alwal,17.5021,78.51398,bus,Secunderabad
alwal,17.50156,78.51408,bus,Secunderabad
alwal hills bus stop,17.51295,78.49471,bus,Secunderabad
alwal police station bus stop,17.50313,78.51105,bus,Secunderabad
alwal police station bus stop,17.50325,78.51107,bus,Secunderabad
alwyin colony x road bus stop,17.49383,78.34985,bus,Miyapur
amba theatre,17.39381,78.44251,bus,Banjara Hills
amba theatre,17.39418,78.44215,bus,Banjara Hills
ambedhkar bus stop,17.41763,78.62643,bus,Uppal
ambedkar college bus stop,17.40134,78.49948,bus,Secunderabad
ambedkar colony bus stop,17.47647,78.2964,bus,Gachibowli
ambedkar nagar,17.5069,78.58358,bus,Uppal
ambedkar nagar,17.50693,78.5837,bus,Uppal
ambedkar nagar colony bus stop,17.41793,78.40028,bus,Jubilee Hills
ambedkar nagar rtc bus stop,17.42976,78.61718,bus,Uppal
ambedkar statue,17.5064,78.50469,bus,Secunderabad
ambedkar statue,17.19363,78.64553,bus,LB Nagar
ambedkar statue,17.19369,78.64562,bus,LB Nagar
ambedkar university,17.4337,78.39765,bus,Jubilee Hills
ambedkar university,17.43348,78.39776,bus,Jubilee Hills
amberpet,17.77707,78.57013,bus,Kukatpally
amberpet,17.39218,78.5173,bus,Uppal
amberpet 6 number,17.39142,78.5126,bus,Uppal
amberpet 6 number,17.39157,78.51238,bus,Old City
amberpet ali cafe,17.38252,78.51803,bus,LB Nagar
amberpet ali cafe,17.38241,78.51823,bus,LB Nagar
amberpet bus stop,17.38959,78.51426,bus,Uppal
amberpet bus stop,17.39014,78.51651,bus,Uppal
amberpet bus stop,17.39134,78.51623,bus,Uppal
amberpet gandhi statue,17.39266,78.51976,bus,Uppal
amberpet gandhi statue,17.39241,78.51962,bus,Uppal
amberpet police line,17.3865,78.51652,bus,Uppal
amberpet police line,17.38644,78.51671,bus,Uppal
amberpet police lines bus stop,17.38618,78.51573,bus,Uppal
amberpet police station,17.39024,78.51649,bus,Uppal
amberpet village,17.32033,78.63756,bus,LB Nagar
amberpet village,17.32037,78.63766,bus,LB Nagar
ameenpur bus stop,17.52397,78.32422,bus,Miyapur
ameenpur bus stop,17.5237,78.32408,bus,Miyapur
ameerpet,17.43404,78.4463,bus,Ameerpet
ameerpet,17.43322,78.44656,bus,Ameerpet
ameerpet,17.43161,78.44758,bus,Ameerpet
ameerpet,17.43178,78.44796,bus,Ameerpet
ameerpet,17.42966,78.45044,bus,Ameerpet
ameerpet,17.43745,78.44825,bus,Ameerpet
ameerpet (pickup van),17.43608,78.44412,bus,Ameerpet
ameerpet / sheesh mahal,17.43461,78.44889,bus,Ameerpet
ameerpet / sheesh mahal,17.43441,78.44867,bus,Ameerpet
ameerpet bus stop,17.43458,78.44794,bus,Ameerpet
ameerpet near gurudwara,17.43605,78.44828,bus,Ameerpet
ameerpet satyam theatre,17.43698,78.44822,bus,Ameerpet
ammuguda bazar,17.49703,78.53202,bus,Secunderabad
ammuguda bazar,17.49672,78.53246,bus,Secunderabad
ammuguda bazar,17.49687,78.53246,bus,Secunderabad
anajpur,17.27019,78.6934,bus,LB Nagar
anajpur,17.27025,78.69337,bus,LB Nagar
anand bagh,17.45806,78.53672,bus,Secunderabad
anand bagh,17.45813,78.53657,bus,Secunderabad
anand nagar,17.36967,78.5736,bus,LB Nagar
anand nagar,17.36957,78.57367,bus,LB Nagar
anand theatre,17.44323,78.48211,bus,Begumpet
anand theatre,17.44357,78.48271,bus,Secunderabad
ananda jyothy bus stop,17.38998,78.53152,bus,Uppal
ananpurna,17.42356,78.4253,bus,Jubilee Hills
ananpurna,17.42356,78.4247,bus,Jubilee Hills
anantaram,17.49832,78.8424,bus,Uppal
andhra bank bus stop,17.40615,78.46743,bus,Banjara Hills
andhra kasari colony / huda park rtc,17.32751,78.57482,bus,LB Nagar
andhra kasari colony / huda park rtc,17.32753,78.57501,bus,LB Nagar
andhra pradesh state road transport corporation- ecil bus stop,17.4735,78.57089,bus,Uppal
andhrajyothi,17.42717,78.44474,bus,Ameerpet
andhrajyothi,17.4273,78.44502,bus,Ameerpet
angadipeta,17.51337,78.47956,bus,Kukatpally
angadipeta,17.5135,78.47978,bus,Kukatpally
angrau rtc bus stop,17.32272,78.41837,bus,Old City
anjaiah nagar,17.45203,78.36381,bus,Kondapur
anjaiah nagar,17.45209,78.36355,bus,Kondapur
anjaiah nagar,17.50172,78.42486,bus,Kukatpally
anjaiah nagar,17.5019,78.4246,bus,Kukatpally
anjali gardens bus stop,17.40314,78.37109,bus,Jubilee Hills
anjaneya tower,17.29771,78.53225,bus,LB Nagar
annamacharya engineering college,17.30326,78.73643,bus,LB Nagar
annamacharya engineering college,17.30319,78.73618,bus,LB Nagar
annapurna colony,17.50035,78.41611,bus,Kukatpally
annapurna colony,17.50046,78.41611,bus,Kukatpally
annapurna colony auto stop,17.31057,78.52328,bus,LB Nagar
annapurna colony bus stop,17.48212,78.6166,bus,Uppal
annapurna colony bus stop,17.41051,78.56008,bus,Uppal
annapurna hotel,17.38912,78.4731,bus,Old City
annapurna nagar,17.3102,78.52327,bus,LB Nagar
annapurna nagar,17.31024,78.52333,bus,LB Nagar
annojiguda,17.43582,78.66092,bus,Uppal
annojiguda,17.4362,78.66288,bus,Uppal
anurag lab,17.33403,78.49265,bus,Old City
anutex,17.45021,78.53244,bus,Secunderabad
anutex,17.45037,78.53289,bus,Secunderabad
aparna company,17.52799,78.35456,bus,Miyapur
aparna company,17.52803,78.3544,bus,Miyapur
aperl,17.32442,78.37434,bus,Old City
aperl,17.32464,78.37434,bus,Old City
apiic mindspace junction bus stop,17.44067,78.37702,bus,HITEC City
apollo hospital,17.41864,78.41299,bus,Jubilee Hills
apollo hospital,17.41805,78.41328,bus,Jubilee Hills
appa,17.35006,78.36164,bus,Financial District
appa,17.35063,78.36222,bus,Financial District
appa junction|orr appa junction bus stop,17.34957,78.36016,bus,Financial District
apperal park bus stop,17.55827,78.47235,bus,Kukatpally
appo jigudda,17.3609,78.27325,bus,Financial District
appo jigudda,17.3607,78.27318,bus,Financial District
appojiguda bus stop,17.37173,78.27556,bus,Financial District
apsrtc b.m.r.s school bus stop,17.43111,78.60836,bus,Uppal
apsrtc bus station,17.36745,78.58152,bus,LB Nagar
apsrtc bus stop,17.45623,78.37744,bus,HITEC City
apsrtc bus stop,17.48469,78.40649,bus,Kukatpally
apsrtc bus stop,17.44622,78.52637,bus,Secunderabad
apsrtc bus stop,17.48523,78.39418,bus,Kukatpally
apsrtc commuter amenity centre,17.47348,78.42682,bus,Kukatpally
apsrtc kukatpally bus stand,17.47347,78.4268,bus,Kukatpally
apsrtc ranigunj-1 & 2 depots,17.43077,78.48804,bus,Secunderabad
apsrtc-shankarpalli,17.45559,78.1311,bus,Financial District
aptdc bus stop,17.35897,78.47108,bus,Old City
aptdc hop-on hop-off bus stop,17.37195,78.48025,bus,Old City
apurupa colony,17.53094,78.44931,bus,Kukatpally
apurupa colony,17.53069,78.44931,bus,Kukatpally
aram ghar,17.32041,78.42969,bus,Old City
aramghar,17.32153,78.43255,bus,Old City
aramghar,17.3218,78.43133,bus,Old City
aramghar,17.32322,78.4303,bus,Old City
aramghar,17.32677,78.42555,bus,Old City
aramghar x roads,17.32258,78.43276,bus,Old City
aramghar x roads,17.32114,78.43165,bus,Old City
arch temple,17.45894,78.59424,bus,Uppal
are bus stop,17.3214,78.39958,bus,Old City
arts college bus stop,17.41377,78.5214,bus,Secunderabad
arts college railway station,17.41775,78.51931,bus,Secunderabad
arts college railway station,17.41774,78.51946,bus,Secunderabad
arunodaya nagar,17.37346,78.56307,bus,LB Nagar
arunodaya nagar,17.37325,78.56328,bus,LB Nagar
as rao nagar,17.48057,78.55648,bus,Secunderabad
as rao nagar,17.47953,78.55834,bus,Secunderabad
as rao nagar (pickup van/bus),17.47796,78.5614,bus,Secunderabad
asbestas colony bus stop,17.49361,78.42493,bus,Kukatpally
asbestos colony,17.49329,78.43576,bus,Kukatpally
asbestos colony,17.49323,78.43551,bus,Kukatpally
asbestos kamman bus stop,17.49502,78.43173,bus,Kukatpally
ascendas,17.43515,78.38317,bus,HITEC City
ascendas,17.43579,78.38197,bus,HITEC City
ashish gardens,17.45742,78.47804,bus,Begumpet
ashish gardens,17.45733,78.4784,bus,Begumpet
ashok gardens,17.46897,78.48321,bus,Secunderabad
ashok gardens,17.46891,78.48333,bus,Secunderabad
ashok nagar,17.44969,78.58052,bus,Uppal
ashok nagar,17.44998,78.58101,bus,Uppal
ashok nagar,17.50322,78.31087,bus,Miyapur
ashok nagar,17.50699,78.30387,bus,Miyapur
ashok nagar,17.40877,78.49057,bus,Secunderabad
ashok nagar,17.4069,78.48971,bus,Secunderabad
ashok nagar,17.40873,78.49108,bus,Secunderabad
ashok nagar,17.40597,78.48968,bus,Secunderabad
ashok nagar (bhel),17.50486,78.30764,bus,Miyapur
ashok nagar (bhel),17.50225,78.31178,bus,Miyapur
ashok nagar bus stop,17.44966,78.58043,bus,Uppal
ashok nagar bus stop,17.50422,78.30862,bus,Miyapur
ashok nagar bus stop,17.50452,78.30873,bus,Miyapur
ashok nagar bus stop,17.40835,78.48966,bus,Secunderabad
ashok nagar lp,17.50466,78.30845,bus,Miyapur
ashok nagar x road,17.40884,78.48957,bus,Secunderabad
ashok nagar x road,17.41001,78.48922,bus,Secunderabad
ashok nagar x road,17.4102,78.4892,bus,Secunderabad
asif nagar,17.38988,78.45162,bus,Banjara Hills
asif nagar,17.38999,78.45182,bus,Banjara Hills
asmathpur bus stop,17.12486,78.72586,bus,LB Nagar
asrao nagar,17.47991,78.55718,bus,Secunderabad
assembly / air,17.40017,78.47001,bus,Banjara Hills
assembly / air,17.40144,78.4699,bus,Banjara Hills
athvelly,17.6497,78.48793,bus,Kukatpally
athvelly,17.64988,78.48777,bus,Kukatpally
attapur,17.36427,78.4282,bus,Old City
attapur,17.37039,78.42919,bus,Old City
attapur bus stop,17.37036,78.42901,bus,Old City
attapur bus stop,17.37023,78.42939,bus,Old City
attapur x road,17.37003,78.42946,bus,Old City
aushapur railway gate,17.45276,78.68516,bus,Uppal
aushapur railway gate,17.45289,78.68526,bus,Uppal
autonagar,17.33597,78.57888,bus,LB Nagar
autonagar,17.33604,78.58069,bus,LB Nagar
avancha bus stop,17.71735,78.23149,bus,Miyapur
aware global hospital,17.34325,78.53799,bus,LB Nagar
aware global hospital,17.34346,78.53809,bus,LB Nagar
ayodhya junction,17.58918,78.47338,bus,Kukatpally
ayodhya junction,17.58935,78.47297,bus,Kukatpally
ayyappa colony,17.49637,78.59564,bus,Uppal
ayyappa colony,17.49639,78.59548,bus,Uppal
ayyappa ground bus station,17.44089,78.43679,bus,Ameerpet
azampura,17.3775,78.48914,bus,Old City
azampura,17.37741,78.48883,bus,Old City
aziz nagar 3,17.33384,78.32833,bus,Financial District
aziz nagar 3,17.33433,78.32819,bus,Financial District
aziz nagar bus stop,17.34422,78.32466,bus,Financial District
aziz nagar x road,17.34424,78.32467,bus,Financial District
aziz nagar x road,17.3441,78.32487,bus,Financial District
b h e l,17.49174,78.29215,bus,Miyapur
b n reddy,17.32074,78.56154,bus,LB Nagar
b n reddy nagar bus stop towards ibrahimpatnam,17.31607,78.56167,bus,LB Nagar
b.k. enclave,17.51898,78.35618,bus,Miyapur
b.k. enclave,17.51951,78.35598,bus,Miyapur
b.n. reddy nagar,17.32011,78.56066,bus,LB Nagar
b.n. reddy nagar,17.31683,78.56111,bus,LB Nagar
b.n. reddy nagar sagar complex,17.31271,78.56369,bus,LB Nagar
b.n. reddy nagar(bager hospital),17.32185,78.55984,bus,LB Nagar
baba nagar,17.33023,78.48654,bus,Old City
baba nagar,17.33045,78.48634,bus,Old City
baba temple alkapuri,17.36537,78.55313,bus,LB Nagar
baba temple alkapuri,17.36551,78.5528,bus,LB Nagar
babu jagjeevan ram bhavan,17.36585,78.54336,bus,LB Nagar
babu jagjeevan ram bhavan telephone colony arch,17.36594,78.54327,bus,LB Nagar
bacharam,17.39306,78.69008,bus,Uppal
bacharam 1,17.39441,78.68991,bus,Uppal
bachupally,17.541,78.36354,bus,Miyapur
bachupally,17.54031,78.3621,bus,Miyapur
bachupally volvo comp,17.53021,78.35577,bus,Miyapur
bachupally x road,17.52196,78.35637,bus,Miyapur
bachupally x road,17.52207,78.35657,bus,Miyapur
bachupally x road,17.54091,78.36408,bus,Miyapur
bachupally x roads,17.54074,78.36402,bus,Miyapur
badangpet,17.30706,78.52541,bus,LB Nagar
badangpet,17.30705,78.52528,bus,LB Nagar
badangpet gram panchayat kamaan,17.31344,78.5229,bus,LB Nagar
badangpet gram panchayat office,17.30523,78.52548,bus,LB Nagar
badangpet gram panchayat office,17.30527,78.52532,bus,LB Nagar
bagh lingampally,17.39711,78.49701,bus,Old City
bagh lingampally,17.39738,78.4974,bus,Old City
baghlingampally,17.39645,78.49599,bus,Old City
baghlingampally,17.39663,78.49606,bus,Old City
baghlingampally ambedkar college,17.40078,78.49926,bus,Secunderabad
baghlingampally ambedkar college,17.40129,78.49944,bus,Secunderabad
bahadur pally ramalayam,17.55983,78.43783,bus,Kukatpally
bahadur pally ramalayam,17.55975,78.43783,bus,Kukatpally
bahadurpally road,17.56035,78.43162,bus,Kukatpally
bahadurpally x road,17.55991,78.43115,bus,Kukatpally
bahadurpally x road,17.55997,78.43098,bus,Kukatpally
bahadurpura,17.35458,78.45413,bus,Old City
bahadurpura,17.35568,78.45428,bus,Old City
bahadurpura,17.35768,78.46183,bus,Old City
bahadurpura police station,17.35915,78.455,bus,Old City
bahadurpura police station,17.35847,78.45515,bus,Old City
bairaguda bus stop,17.12262,78.49751,bus,LB Nagar
bairamal guda bust stop,17.34048,78.5482,bus,LB Nagar
bairamalguda,17.34297,78.54095,bus,LB Nagar
bairamalguda,17.34309,78.54111,bus,LB Nagar
bala nagar,17.46821,78.44614,bus,Ameerpet
bala nagar,17.46891,78.44658,bus,Ameerpet
balaji hills colony - bus stop,17.41485,78.57112,bus,Uppal
balaji hills colony bus stop,17.41504,78.57163,bus,Uppal
balaji nagar,17.51243,78.55876,bus,Secunderabad
balaji nagar,17.51255,78.5581,bus,Secunderabad
balaji nagar,17.4111,78.6458,bus,Uppal
balaji nagar,17.41118,78.64573,bus,Uppal
balaji nagar bus stop|balaji nagar busstop,17.48468,78.40643,bus,Kukatpally
balaji nagar poultry farm,17.51308,78.55448,bus,Secunderabad
balaji nagar poultry farm,17.51327,78.55432,bus,Secunderabad
balaji rice mill bus stop,17.51443,78.51315,bus,Secunderabad
balakampet,17.4462,78.44912,bus,Ameerpet
balakampet,17.44629,78.44896,bus,Ameerpet
balamrai,17.45042,78.4887,bus,Secunderabad
balamrai,17.45061,78.48858,bus,Secunderabad
balanagar,17.47077,78.43524,bus,Kukatpally
balanagar,17.46661,78.44676,bus,Ameerpet
balanagar,17.46357,78.45241,bus,Ameerpet
balanagar,17.46436,78.45149,bus,Ameerpet
balanagar,17.46481,78.44898,bus,Ameerpet
balanagar bus stop,17.46744,78.44455,bus,Ameerpet
balanagar pickup,17.46789,78.44619,bus,Ameerpet
balanagar x roads / citd,17.46746,78.44509,bus,Ameerpet
balanagar x roads / citd.all.shops.,17.46741,78.44462,bus,Ameerpet
balanagar-shobana theatre,17.46361,78.45267,bus,Ameerpet
balanagar-shobana theatre,17.46379,78.45305,bus,Ameerpet
balapur,17.31351,78.49882,bus,Old City
balapur,17.31337,78.49858,bus,Old City
balapur x road,17.31936,78.51901,bus,LB Nagar
balapur x road,17.31874,78.51907,bus,LB Nagar
balapur x road,17.31896,78.51981,bus,LB Nagar
balayya hotel,17.51401,78.44189,bus,Kukatpally
balayya hotel,17.51406,78.44201,bus,Kukatpally
bandam bus stop,17.48913,78.72322,bus,Uppal
bandathimmapur bus stop,17.71799,78.51995,bus,Kukatpally
bandlaguda,17.37148,78.56941,bus,LB Nagar
bandlaguda,17.37146,78.56956,bus,LB Nagar
bandlaguda,17.50126,78.62193,bus,Uppal
bandlaguda,17.50093,78.62129,bus,Uppal
bandlaguda,17.31657,78.46615,bus,Old City
bandlaguda,17.31659,78.46649,bus,Old City
bandlaguda,17.32225,78.46843,bus,Old City
bandlaguda / hashamabad,17.32212,78.46868,bus,Old City
bandlaguda bus deport,17.36533,78.58897,bus,LB Nagar
bandlaguda bus depot,17.36523,78.58928,bus,LB Nagar
bandlaguda bus depot,17.36524,78.58903,bus,LB Nagar
bandlaguda jagir village bus stop,17.3512,78.38999,bus,Jubilee Hills
bandlaguda x road,17.3593,78.38765,bus,Jubilee Hills
bandlaguda x road,17.35976,78.38801,bus,Jubilee Hills
bandlaguda x road,17.35954,78.38799,bus,Jubilee Hills
banjara hills,17.41623,78.41897,bus,Jubilee Hills
banjara hills,17.41612,78.42005,bus,Jubilee Hills
banjara hills bus stop,17.42712,78.44473,bus,Ameerpet
banjara hills kaman,17.40942,78.43793,bus,Banjara Hills
banjara hills kaman,17.40997,78.43774,bus,Banjara Hills
banjara hills kaman road number 12,17.40841,78.43857,bus,Banjara Hills
banjara hills road no 7 / taj krishna,17.41648,78.44902,bus,Banjara Hills
banjara hills road no 7 / taj krishna,17.41641,78.44875,bus,Banjara Hills
banjara hills road number 2 brand factory,17.42545,78.43553,bus,Ameerpet
banjara hills road number 2 brand factory,17.42582,78.43587,bus,Ameerpet
bank street bus stop,17.38549,78.48165,bus,Old City
baphugahat busstop,17.37466,78.4187,bus,Banjara Hills
bapu bagh colony,17.44014,78.47942,bus,Begumpet
bapu bagh colony,17.44053,78.47931,bus,Begumpet
bapu nagar,17.37383,78.41728,bus,Banjara Hills
bapu nagar,17.37434,78.41786,bus,Banjara Hills
bapu nagar bus stop,17.37507,78.41929,bus,Banjara Hills
bapuji nagar x road,17.46836,78.48112,bus,Secunderabad
bapuji nagar x road,17.46855,78.48129,bus,Secunderabad
barathnagar,17.46542,78.42962,bus,Kukatpally
barkas,17.31427,78.47849,bus,Old City
barkas,17.31439,78.47838,bus,Old City
barkatpura,17.39428,78.49868,bus,Old City
barkatpura,17.3959,78.49713,bus,Old City
barkatpura,17.3944,78.49854,bus,Old City
barkatpura bus depot,17.39257,78.501,bus,Old City
