ward_name,circle,zone,area_sqkm,chokepoint_count,is_flood_prone,nearest_police_distance_km,commercial_density,cancellation_rate,avg_fare,driver_acceptance_rate,has_constituency_data
53-DOODBOWLI,10-FALAKNUMA,SOUTH  ZONE,1191730.61577681,2,1,2.516333913926209,3,,,,0
55-RAMNASTPURA,10-FALAKNUMA,SOUTH  ZONE,4306742.19880533,0,1,5.140846592933259,0,,,,0
43-CHANDRAYANGUTTA,8-CHANDRAYANGUTTA,SOUTH  ZONE,1964907.07228564,0,1,7.725417161454627,0,,,,0
44-UPPUGUDA,8-CHANDRAYANGUTTA,SOUTH  ZONE,1425145.06927076,0,0,10.34431104385956,0,,,,0
40-RIYASATNAGAR,8-CHANDRAYANGUTTA,SOUTH  ZONE,1134749.5745003,0,0,9.14784840311098,0,,,,0
36-LALITHABAGH,8-CHANDRAYANGUTTA,SOUTH  ZONE,986004.167961344,1,1,6.569307071747613,4,,,,0
34-TALABCHANCHALAM,7-SANTOSH NAGAR,SOUTH  ZONE,664829.534362568,3,1,4.086046449785343,52,,,,0
35-GOWLIPURA,7-SANTOSH NAGAR,SOUTH  ZONE,1052077.73352787,0,1,2.074384588108716,5,,,,0
22-CHAITHANYAPURI,5-SAROOR NAGAR,EAST ZONE,2207501.80514017,1,1,2.444930081526493,1,,,,0
30-DABEERPURA,6-MALAKPET,SOUTH  ZONE,1395769.71318712,5,1,0.6394345201528326,27,,,,0
32-PATHER GATTI,9-CHARMINAR,SOUTH  ZONE,1747099.76987619,2,1,0.3216655108966266,0,,,,0
37-KURMAGUDA,7-SANTOSH NAGAR,SOUTH  ZONE,1027289.30345149,4,1,0.8056465229924397,2,,,,0
31-REIN BAZAR,7-SANTOSH NAGAR,SOUTH  ZONE,671391.790079674,1,0,0.7093028943902183,0,,,,0
29-CHAWANI,6-MALAKPET,SOUTH  ZONE,991665.132577799,1,1,2.6672373587543987,3,,,,0
38-I.S.SADAN,7-SANTOSH NAGAR,SOUTH  ZONE,2672745.49928518,0,0,5.127997514683201,5,,,,0
18-LINGOJIGUDA,4-LB. NAGAR,EAST ZONE,2703518.32966878,0,0,7.716577531807188,2,0.5421,164.9289,0.302,1
16-HASTHINAPURAM,4-LB. NAGAR,EAST ZONE,4946566.2053745,0,0,10.337397421045006,1,0.614,180.5565,0.1855,1
20-R.K.PURAM,5-SAROOR NAGAR,EAST ZONE,2464092.7599655,1,1,8.594614263851504,0,,,,0
19-SAROORNAGAR,5-SAROOR NAGAR,EAST ZONE,2285673.12722496,2,1,7.80709043264366,2,,,,0
14-B.N.REDDY NAGAR,3-HAYAT NAGAR,EAST ZONE,8696497.16179134,4,1,5.873182295013273,4,0.6299,146.6718,0.2334,1
12-MANSOORABAD,3-HAYAT NAGAR,EAST ZONE,11006984.9164285,1,1,4.701411042580896,0,0.5973,167.8208,0.2645,1
21-KOTHAPET,5-SAROOR NAGAR,EAST ZONE,2519474.50439305,1,1,4.18740542171796,2,,,,0
11-NAGOLE,3-HAYAT NAGAR,EAST ZONE,11294264.2239035,1,1,2.586713365900752,0,0.5429,213.7703,0.3206,1
5-MALLAPUR,1-KAPRA,EAST ZONE,6940136.59596703,0,1,0.7680687893464716,0,,,,0
3-CHERLAPALLY,1-KAPRA,EAST ZONE,14790943.0744439,0,1,1.1279787645847863,1,,,,0
96-YOUSUFGUDA,19-YOUSUFGUDA,CENTRAL  ZONE,1939641.89996518,0,0,1.6684963930507677,0,,,,0
95-JUBILEE HILLS,18-JUBILEE HILLS,CENTRAL  ZONE,8796813.02765672,0,1,4.144065240189181,0,,,,0
50-BEGUM BAZAR,14-GOSHAMAHAL,CENTRAL  ZONE,1393323.4912551,0,1,6.451340935631416,0,,,,0
78-GUNFOUNDRY(Abids),14-GOSHAMAHAL,CENTRAL  ZONE,3162181.67902483,0,0,8.65242449308361,11,,,,0
23-GADDIANNARAM,5-SAROOR NAGAR,EAST ZONE,1442467.52713957,0,0,11.053242792113224,0,,,,0
24-SAIDABAD,6-MALAKPET,SOUTH  ZONE,1812047.35236163,2,1,6.14371017786653,3,,,,0
10-UPPAL,2-UPPAL,EAST ZONE,8335381.76252596,3,1,5.163777142141166,0,0.5641,201.7706,0.3089,1
13-HAYATHNAGAR,3-HAYAT NAGAR,EAST ZONE,10130161.134893,1,1,5.444152141737416,1,0.5807,145.7938,0.2389,1
15-VANASTHALIPURAM,4-LB. NAGAR,EAST ZONE,3657312.27776157,5,1,6.831381207658547,7,0.8421,93.6667,0.0438,1
26-OLD MALAKPET,6-MALAKPET,SOUTH  ZONE,2362340.05686644,0,1,6.223863113127551,0,,,,0
27-AKBERBAGH,6-MALAKPET,SOUTH  ZONE,1410696.85128938,0,1,4.30991503464642,1,,,,0
17-CHAMPAPET,4-LB. NAGAR,EAST ZONE,2264903.38336956,1,1,3.5320036024386527,4,0.5895,160.5126,0.2452,1
39-SANTOSH NAGAR,7-SANTOSH NAGAR,SOUTH  ZONE,1062765.86664979,0,1,2.243275680184884,0,,,,0
65-KARWAN,13-KARWAN,CENTRAL  ZONE,1965674.23410731,0,0,2.315185107999753,0,,,,0
66-LUNGER HOUSE,13-KARWAN,CENTRAL  ZONE,7029791.88282234,0,0,4.443816055254405,0,,,,0
112-RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,WEST  ZONE,2407146.13760029,0,1,6.942228941471649,0,,,,0
128-CHINTAL,26-GAJULARAMARAM,NORTH  ZONE,4303465.25046616,0,0,9.523718088218638,0,,,,0
126-JAGADGIRI GUTTA,26-GAJULARAMARAM,NORTH  ZONE,2289121.23648829,0,0,12.13538178411404,0,,,,0
129-SURARAM,26-GAJULARAMARAM,NORTH  ZONE,8379391.63754273,0,0,4.132595227457366,0,,,,0
133-MACHABOLARUM,27-ALWAL,NORTH  ZONE,12533312.1906244,0,0,2.4493446174939515,2,,,,0
2-DR.A.S.RAO NAGAR,1-KAPRA,EAST ZONE,4661319.32946206,0,1,2.995509571111824,1,,,,0
4-MEERPET H.B.COLONY,1-KAPRA,EAST ZONE,3014512.24134588,0,1,5.098990965744443,0,,,,0
1-KAPRA,1-KAPRA,EAST ZONE,8944372.18269375,0,1,7.555076610825173,0,,,,0
138-MOULA-ALI,28-MALKAJGIRI,NORTH  ZONE,3562137.32096345,0,1,6.776063609165729,4,,,,0
94-SHAIKPET,18-JUBILEE HILLS,CENTRAL  ZONE,4392202.39162178,0,1,6.065794217514238,0,,,,0
107-MADHAPUR,21-CHANDA NAGAR,WEST  ZONE,11022350.2097935,0,1,4.802491242881633,1,0.5835,190.7501,0.2282,1
149-BEGUMPET,30-BEGUMPET,NORTH  ZONE,5676983.90222591,0,0,4.836493910879426,0,,,,0
135-VENKATAPURAM,27-ALWAL,NORTH  ZONE,2962399.25027554,0,0,6.146308902068279,0,,,,0
123-HYDER NAGAR,24-KUKATPALLY,WEST  ZONE,3640059.12151314,0,1,8.137582024118393,0,,,,0
122-VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,WEST  ZONE,1680697.97835398,0,0,10.42693900908346,0,,,,0
113-PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,WEST  ZONE,14574929.1514698,0,0,12.856109834919264,0,,,,0
108-MIYAPUR,21-CHANDA NAGAR,WEST  ZONE,8132405.04343248,0,0,3.4448367214649127,0,0.559,196.0804,0.2956,1
45-JANGAMMET,8-CHANDRAYANGUTTA,SOUTH  ZONE,1687751.85766125,0,0,0.8884668266151485,1,,,,0
42-BARKAS,8-CHANDRAYANGUTTA,SOUTH  ZONE,1619107.42400743,0,0,1.9397813863066165,1,,,,0
41-KANCHANBAGH,8-CHANDRAYANGUTTA,SOUTH  ZONE,4994235.03776534,0,1,4.5592801581060485,0,,,,0
7-CHILUKA NAGAR,2-UPPAL,EAST ZONE,2937031.76808081,0,1,7.201543182386104,0,,,,0
9-RAMANTHAPUR,2-UPPAL,EAST ZONE,2730227.84638863,0,0,9.41860378857126,0,0.5868,193.5512,0.2261,1
25-MOOSARAMBAGH,6-MALAKPET,SOUTH  ZONE,2079728.72658739,1,0,8.383256792822658,0,,,,0
